"","PS.rep1","PS.rep2","PS.rep3","RS.rep1","RS.rep2","RS.rep3"
"LINC02158",3.53073249172427,5.78808533270533,6.52122195252421,3.87337028401446,5.77857656391211,6.94078927769277
"LINC02159",0.121555232715601,0.0564446622856445,0,0,0.246074815085164,0.213715569153718
"LINC02160",0,2.11392048671855,1.6846706461694,0.618442592206055,0.950749833547061,2.52942868000794
"LINC02162",0.945742528193469,1.28680428084074,1.69397084128741,1.51888758686242,3.23366108774395,3.09049271159916
"LINC02167",0.338940070049863,1.24970624656411,0.913302666014087,1.18060619100813,2.79727658291784,2.27910871909847
"LINC02168",2.54588684465064,0.901560100812324,3.6768428367283,2.4740102458545,3.54271617201327,2.65306001710456
"LINC02169",3.73851926118489,3.17751920259781,3.64056308951901,2.88652673626152,2.89732175642552,2.83140301910376
"LINC02170",0.477539526772247,2.21551086773608,1.49584351725201,0.653725934363907,1.97368473997824,1.23720146950752
"LINC02171",0,0,0,0.450677595253369,0,0
"LINC02172",0.348455662706781,0.925533884475205,0.963411235897328,0.294958869632558,0.859043223502278,0.793325764953408
"LINC02173",1.04678438884097,1.52939119673242,0.792628000685443,2.92326520006222,4.1223828255995,2.56798101348575
"LINC02174",0.573350287414351,1.20088095428596,2.17906511534264,2.38144950823982,2.78949556383935,2.93897074471293
"LINC02175",4.97430444745099,6.36384740093543,6.77276982950692,4.60087867830052,5.06505955711272,4.85871707926708
"LINC02177",0.485327896118335,2.14162897365166,2.09114803527197,1.072634062936,1.69743133896279,2.05153219892178
"LINC02178",0,0.396949685338148,0,0,0,0
"LINC02180",2.75303110935939,2.15078711056836,2.57257927374629,4.63939425470958,4.3751645753684,4.45078895872524
"LINC02181",0.724743683758314,1.79372112591822,1.51824304549747,0.818808031843343,1.79662267084593,1.70824904871508
"LINC02182",0,0.586383336351324,0,0,0,0
"LINC02185",0.30658306223071,0.509859988237883,0.729542329502211,0.333829005403562,0.745218397305479,0.548790719712947
"LINC02186",2.24998530252371,3.97009898637213,3.79262633497319,2.65920074659585,4.15173707202228,4.16722142408761
"LINC02188",2.00455532375177,1.34690584472013,0.42816383556129,4.09315448790708,2.23240688151808,2.46596401961528
"LINC02189",5.83823578674717,2.19722691728399,2.23614969838372,7.17960061878913,5.21429580432886,3.94513946292512
"LINC02190",2.44429866086103,1.66829162038876,2.91190629259802,4.4405934723473,3.85836897817078,3.68351680794189
"LINC02192",0,0.102833864093574,0,0,0,0.237317741706505
"LINC02197",4.16726719439807,3.3750950522522,3.50166333465029,3.96125195782843,3.96709296552834,3.40539746559456
"LINC02198",1.22142549170144,1.73485049624351,1.50655116720585,1.1056847818522,2.07198914503557,1.47625205954784
