Geneid	Length	genome_mapping/135-P_R1.rn6.sorted.bam
Mug2	3985	0
Notch4	6483	507
Pbx2	2858	787
Rasl11a	810	7
Rasl11b	1816	475
Rpp21	499	281
Senp17	1428	0
Senp18	1428	0
Smoc1	1359	156
Prm1	156	0
Nenf	654	765
Spata4	1086	1
P2ry13	1011	263
Tanc1	5819	616
Prm3	515	0
Enc1	4521	908
Eml5	6540	299
Apold1	2883	635
Il22ra2	2505	49
LOC298116	852	0
Pard6a	1319	104
Pmpca	1760	880
Ly6g6f	915	4
Slc38a7	1822	215
Wfdc21	368	0
Clec4d	714	17
Trappc4	863	658
Ufc1	1037	1437
C5ar2	1255	85
Jph4	1891	509
Kcnk18	1329	0
Abhd12b	621	0
Cntfr	1332	425
Prss57	705	0
Dnmt3a	4289	446
Dnmt3b	4281	60
Dnmt3l	1689	1
Dpcr1	1494	0
Gpsm3	1228	266
G4	1994	225
Mpig6b	699	15
Klk1c6	774	0
Gspt1	2545	752
Tmprss11c	1257	0
Tmprss11b	1263	0
Krt13	1317	0
Krt15	1657	0
Rffl	1721	1358
Sapcd1	835	28
Egfl8	1378	182
Ano7	2742	5
Pdha1	2814	2419
Lsm2	945	208
Rnf34	1960	802
Abcg3l1	2018	72
Gk2	1853	0
Cct5	1739	4077
Bpi	1945	0
Gsn	2582	19142
Mpi	1397	1022
Hsp90ab1	2338	20151
Egln2	1988	1094
RT1-Bb	1515	0
Crat	2730	1773
Pon3	1452	132
Pcdh7	3755	464
Lrrc36	2410	35
Sipa1	3123	1374
Tspan5	2852	1263
Il17re	2612	32
Txndc8	431	0
Psma3l	897	0
S100a11	297	1473
Reg4	474	0
Try10	741	0
Cenpc	3132	356
Gjb2	2432	710
Klk10	840	0
Klk4	771	0
ST7	2098	181
Tacc1	7632	3082
Stfa2l1	312	0
Krt39	1446	0
Krt24	1476	0
Cdk16	3098	3443
Shank2	10065	48
Tbp	1868	200
Tax1bp1	2900	4025
Cops3	1570	1144
Lrrc46	1259	69
Ccl6	348	204
Mcm7	2332	545
Tmem248	1674	813
Rilpl2	1289	290
Pa2g4	1574	1280
Dhps	1305	459
Cacybp	1523	1821
Hsd17b11	1595	1386
Xbp1	1841	1266
Ddx56	1939	221
Tusc3	1492	1079
Saraf	1837	4036
Nqo2	1205	117
Ppic	1355	326
Nox3	1707	2
Katna1	1835	160
Fuca2	1602	585
Etfb	841	807
Emc10	1635	1943
Arfip2	1775	1166
Eef1g	1397	8350
Bcap31	1205	2368
RGD1303003	1277	1119
Glmp	1571	1233
Rtca	1354	862
Emcn	1392	122
Nup35	1511	484
Edem2	1873	616
Npdc1	1357	2944
Fscn3	1770	27
Mkrn1	1442	566
Pyroxd1	1756	220
Mrpl37	1453	763
Tspan1	1233	42
Aurkaip1	768	871
Rab21	1490	1357
Dctn2	1652	3566
Gpaa1	2018	710
Samm50	1611	1184
Arhgap8	1517	18
Rpap3	2195	898
Kansl2	2058	250
Esam	1807	291
Ttc12	2214	179
Ubl7	1362	5643
Tmem30a	1754	3750
Tmed3	1307	658
Uqcrc1	1567	2811
Maip1	1379	260
Farsb	2161	658
Syap1	1466	719
Mtif2	2175	341
Dek	2553	1475
Sirt5	1342	900
Hspa14	1737	319
Nudt19	1315	182
Pnkp	1666	283
Slc22a18	1468	83
Pyroxd2	1970	113
Cog6	2152	459
Itgb6	2799	0
Knstrn	1454	203
Spint1	2290	291
Ak8	1551	17
Tmem106b	1854	1436
Kdf1	1692	0
Jam3	1882	1634
Snupn	1338	201
Ugt2b35	1869	0
Phf23	1686	546
Ggnbp2	2768	1662
Igfbp4	2163	428
Cops4	1573	1183
Commd10	1395	514
Pla2g15	2647	412
Tsga10ip	1853	8
Ppid	1331	609
Mmadhc	1308	661
Tbc1d20	1364	440
Tmem178a	1640	205
Eif3d	1845	1181
Zmynd10	1730	161
Tacc2	9192	808
Tacc3	2040	451
Pdia6	1721	2992
Hexa	1779	2083
Zbtb1	3266	251
Rnf113a2	1282	141
Smarca2	5928	2165
Spata21	2431	6
Dear	3253	64
Smgc	2779	0
Dmd	2360	711
Cr1l	2094	887
Ddx19a	2528	605
Klk1c12	780	0
Acy1	1326	971
Osmr	2888	286
Rps25	466	2782
Ttc1	1435	1264
Slc16a13	1904	389
Spata32	1148	10
MGC95210	3252	185
